Style,Standard,,,,,,,,,,,,,,,,,,,,,,
Append Mode,1,,,,,,,,,,,,,,,,,,,,,,
Fill Mode,0,,,,,,,,,,,,,,,,,,,,,,
Capacity,30000,,,,,,,,,,,,,,,,,,,,,,
Count,11118,,,,,,,,,,,,,,,,,,,,,,
Base Time Seconds,1709737205,,,,,,,,,,,,,,,,,,,,,,
Base Time Fractional,0.49200818,,,,,,,,,,,,,,,,,,,,,,
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-0.00396552,Volt DC,100,4.5,F,T,F,F,F,F,Front,F,Digitizer,2.89387E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:00:05,0.49200818
2,-0.004892735,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,2.89387E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:00:05,0.49200918
3,-0.00581995,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,-2.78758E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:00:05,0.49201018
4,-0.00396552,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,1.00005E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:00:05,0.49201118
5,-0.00396552,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,-2.78758E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:00:05,0.49201218
6,-0.004892735,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,-2.78758E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:00:05,0.49201318
7,-0.004892735,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,4.78768E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:00:05,0.49201418
8,-0.004892735,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,1.00005E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:00:05,0.49201518
9,-0.00581995,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,1.00005E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:00:05,0.49201618
10,-0.00396552,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,-8.93763E-06,Amp DC,1,F,4W,F,F,3/6/2024,15:00:05,0.49201718
