Style,Standard,,,,,,,,,,,,,,,,,,,,,,,
Append Mode,1,,,,,,,,,,,,,,,,,,,,,,,
Fill Mode,0,,,,,,,,,,,,,,,,,,,,,,,
Capacity,30000,,,,,,,,,,,,,,,,,,,,,,,
Count,11260,,,,,,,,,,,,,,,,,,,,,,,
Base Time Seconds,1709740595,,,,,,,,,,,,,,,,,,,,,,,
Base Time Fractional,0.438305,,,,,,,,,,,,,,,,,,,,,,,
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds,
1,-0.002111091,Volt DC,100,4.5,F,T,F,F,F,F,Front,F,Digitizer,1.00005E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438305,56.8144715
2,-0.001183876,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,6.6815E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438306,-37.8763143
3,0.001597768,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,2.89387E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438307,-18.9381572
4,-0.003038306,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,1.00005E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438308,113.6289393
5,-0.000256661,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,0.000123629,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438309,-94.6907821
6,-0.001183876,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,2.89387E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.43831,-18.9381572
7,-0.003038306,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,1.00005E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438311,-37.8763125
8,-0.001183876,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,-2.78758E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438312,75.7526232
9,0.000670553,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,4.78768E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438313,-56.8144669
10,-0.001183876,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,-8.93763E-06,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438314,-18.9381563
11,-0.003038306,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,-2.78758E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438315,18.9381563
12,-0.001183876,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,-8.93763E-06,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438316,-18.9381563
13,-0.004892735,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,-2.78758E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438317,37.8763125
14,-0.003038306,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,1.00005E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438318,18.9381572
15,-0.002111091,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,2.89387E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438319,0
16,-0.002111091,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,2.89387E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.43832,0
17,-0.004892735,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,2.89387E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438321,18.9381535
18,-0.001183876,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,4.78768E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438322,-18.9381535
19,-0.003038306,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,2.89387E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438323,-56.8144697
20,-0.00396552,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,-2.78758E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438324,18.9381563
21,-0.00396552,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,-8.93763E-06,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438325,18.9381562
22,-0.00396552,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,1.00005E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438326,0
23,-0.000256661,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,1.00005E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438327,-18.9381562
24,-0.003038306,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,-8.93763E-06,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438328,18.9381562
25,-0.002111091,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,1.00005E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438329,-37.8763125
26,-0.00396552,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,-2.78758E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.43833,37.8763125
27,-0.003038306,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,1.00005E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438331,0
